acrylic 1595
albumen silver 28
aluminium 52
appropriation 5
aquatint 190
assemblage 73
augmented reality 13
basalt 9
bas-relief 14
binder 5
blockchain 1
board 633
brass 8
bronze 236
brush 151
burlap 13
cable 2
cameo 1
canvas 33941
carbon fiber 1
card 32
cardboard 1275
casein 2
cement 3
ceramics 40
chalk 1055
charcoal 537
chisel 14
clay 30
cliché-verre 1
cloth 27
coal 27
collage 731
collotype 1
color varnish 4
colored markers 6
colored pencils 96
concrete 15
copper 74
cotton 7
crayon 226
digital 54
drawing 377
drypoint 91
dust 1
elephant dung 1
embroidery 12
emulsion 11
enamel 73
encaustic 43
engraving 482
etching 1663
fabric 63
fabric straps 3
fat 5
feather 58
felt 13
felt-tip pen 123
fiberboard 24
fiberglass 9
flashlight 1
fluorescent paint 40
fresco 1125
frottage 2
gelatin silver print 17
gesso 28
gilt 1
glass 88
glitter 3
gloss 1
gold 57
gold leaf 21
gouache 1358
graffiti 3
granite 7
graphite 323
graphite pencil 5
grattage 4
greenstone 2
grisaille 11
gum arabic 7
hematite 1
hemp 5
hologram 2
horns 1
indian ink 697
ink 2105
intaglio 160
iron 12
iron plate 2
ivory 28
japanese paper 79
jute 2
lacquer 9
laid paper 18
latex 2
lavis 26
leadpoint 18
leather 6
lemon 1
light box 12
light bulb 3
limestone 8
linen 154
linocut 108
linocut b&w 4
linocut color 29
linoleum 2
lithography 1187
magna 112
magnets 1
mahogany panel 8
majolica 10
map pins 1
marble 119
masking tape 3
masonite 113
metal 80
metalpoint 21
mezzotint 7
mixed media 387
mixed technique 409
mosaic 1
mosaïque 290
mural 22
music 3
music paper 1
nails 8
oak 92
objet trouve 13
obsidian 5
oil 45113
oilcloth 127
onyx 2
paint 75
painted metal 26
panel 3306
paper 9656
papier-pelle 1
papyrus 5
parchment 30
pastel 1630
pebbles 2
pen 917
pencil 1914
pergament 2
photogram 12
photographic paper 15
photography 1541
photogravure 25
photomontage 85
photomosaic 38
piano 2
pigment 51
plaster 53
plastic 40
plates 3
plexiglas 19
plug socket 1
plywood 32
polyester 5
polymer 7
polymer paint 16
polystyrene 4
poplar 9
porcelain 10
postcard 7
print 199
printed brochure 2
pyroxylin 34
ready-made 30
recorder with cassette 1
resin 15
rubber 3
sand 26
sandstone 1
sanguine 32
satin 1
scrapings 1
screenprint 67
sepia 68
shell 2
silk 29
silkscreen 128
silver 12
silverpoint 6
sound 1
sponge 7
spray paint 18
stained glass 113
steel 65
stencil 11
stone 71
string 8
stucco 6
stump 8
tapestry 9
tar 4
tempera 2150
terracotta 86
textile 3
tin 23
travertine 1
turquoise 1
tusche 52
twine 2
varnish 11
vellum 50
video 8
vinyl 2
vitrage 10
wall 108
wallpaper 4
wash 167
water miscible oil paint 1
watercolor 4179
wax 46
wax pastel 6
white 58
whitewash 1
wine 3
wire 52
wood 1876
wood engraving 9
woodblock print 319
woodcut 581
wooden chair 26
wooden sled 1
wool 4
zinc 9
