abstract 17549
advertisement 230
allegorical painting 1571
animal painting 2806
animation 12
architecture 396
artist's book 14
augmented reality 1
battle painting 720
bijinga 113
bird-and-flower painting 150
calligraphy 242
capriccio 159
caricature 696
cityscape 8733
cloudscape 779
design 3694
digital 18
figurative 8790
flower painting 2451
furniture 41
genre painting 23384
graffiti 287
history painting 1683
icon 491
illustration 6389
installation 2523
interior 1400
jewelry 86
landscape 23754
literary painting 914
manga 23
marina 3317
miniature 399
mobile 59
mosaic 52
mural 71
mythological painting 3230
nude painting (nu) 4484
object 12
ornament 43
panorama 25
pastorale 105
performance 223
photo 2962
pin-up 20
portrait 27933
poster 1048
quadratura 36
religious painting 11848
sculpture 4150
self-portrait 2593
shan shui 48
sketch and study 7086
stabile 15
still life 4691
symbolic painting 4384
tapestry 45
tessellation 309
trompe-l'œil 55
tronie 215
urushi-e 1
utensil 291
vanitas 57
veduta 347
video 26
wildlife painting 414
yakusha-e 257
